,Ax,Qx,Ay,Qy,Azeta,Qzeta
0,(-3.378630732831264-3.6478539007656345j),0.3104867166651395,(-3.6824550742983355-3.489070845003049j),0.3205777801765883,(-9.464075441776854e-06+0.0029075016303404077j),-0.001866518365643674
1,(0.08306780055427827-0.05632954558484445j),0.35884443964860596,(0.1562502385050005-0.11960413598908048j),0.36893550315781526,(3.7492257247304384e-05-0.0001172719914007566j),0.0
2,(-0.0648205842444061-0.009840012253916262j),0.379026566652451,(0.12868878660215502-0.029761169452678905j),0.35884443964965107,(-3.7580527303693103e-05+2.1012383932366783e-05j),8.811540298473563e-14
3,(-0.0238574331038211-0.04008020327781331j),0.0,(-0.028886788583768957-0.027544079346299846j),0.31871126306374137,(1.0657636845955025e-07-3.831873745210687e-08j),-0.04835772295804666
4,(-0.014573268935707252+0.03851941155953085j),0.3306688436006578,(0.029093753155240272+0.027383179916081173j),0.32244430259100887,(9.864079949232553e-08+3.548088157369668e-08j),0.048357722958018934
5,(0.02642126582256633+0.02823317554409452j),0.31235322809204963,(0.03421897840554954-0.001973270993944239j),-0.3689355031586273,(-5.400570121351758e-08-4.82245183476372e-08j),-0.010091064830811037
6,(-0.02611494858421605-0.028494161321957777j),0.3086202017985034,(0.0002234907873080676-0.03428894103368058j),0.010091063516312674,(5.209664898549256e-08-5.0753169822904045e-08j),-0.03826665920450893
7,(0.005705587018039501+0.023114261408945944j),0.36893550317345075,(-0.029687681495181677+0.012132503778559903j),0.3003956526827673,(4.7305650712048924e-08+4.599742289254324e-08j),0.03826665920480846
8,(-0.010958469350657018-0.012446623404814228j),0.32057778014763283,(-0.0013033571772715726-0.02895791473176975j),0.0,(-4.250853544019977e-08+2.2168918547969465e-08j),0.3790265666914889
9,(0.0015708237083757578+0.013531234310082676j),-0.3790265666790594,(-0.014086795691043274-0.016449689980183042j),-0.010091063514028482,(-4.271519007391253e-08-2.150088120771236e-08j),-0.3790265666918543
10,(0.008714608749442982+0.006953838500053018j),-0.3588444396449157,(0.0035527432927097095+0.020466007078834236j),0.31048671643675907,(-3.775536472747891e-08+3.279284704584839e-08j),0.01009106483124159
11,(-0.008300005513437677-0.0021516960891009708j),-0.36893550315757945,(0.018610139590098024+0.0005816658398983217j),-0.3588444396479975,(-2.0763558218214657e-08-4.3828816965456024e-08j),-0.3588444396612345
12,(0.0014129051560143567+0.008334347359128635j),-0.010091063524460785,(-0.015546152470370037-0.00032751518629996185j),0.33066884466841223,(-1.9882306713757803e-08+4.3679020569513246e-08j),0.35884443966127283
13,(0.005987574415188533+0.003622636163736485j),0.010091063490012313,(0.004223954381725263+0.012277043680844398j),0.3790265667020377,(-6.9854353475717526e-09+2.1241242537276382e-08j),-0.06853984982036361
14,(0.004168396643583604+0.005392217051966608j),-0.31048671666875804,(-0.002188767082238347+0.00826463277152825j),-0.32057778018279054,(-6.703627003184042e-09-2.0048937329998603e-08j),0.0685398498198645
